sample,beta,theta,date,new_infections,S,I,R,V
439,4.005003087975532,0.15410375333879664,2020-04-01,2189.82676307547,11411243.67671261,2594.540690270817,50418534.65985332,22167627.122743808
439,4.005003087975532,0.15410375333879664,2020-05-01,1411.5301956126027,9780113.48026598,1715.9195457927767,50420824.81119341,23797345.788994826
439,4.005003087975532,0.15410375333879664,2020-06-01,800.104327187081,8382547.699173018,1001.414577384315,50422339.420489006,25194111.465760604
439,4.005003087975532,0.15410375333879664,2020-07-01,400.224014357254,7184977.83764047,517.7091374906083,50423223.34994326,26391281.103278793
439,4.005003087975532,0.15410375333879664,2020-08-01,177.3492974469802,6158664.088986432,238.0865017367522,50423680.32187646,27417417.502635386
439,4.005003087975532,0.15410375333879664,2020-09-01,69.91049790343534,5279032.746856524,97.8426077454885,50423890.47626835,28296978.93426739
439,4.005003087975532,0.15410375333879664,2020-10-01,24.626626938826025,4525072.926920231,36.10544008801361,50423976.840062946,29050914.127576742
439,4.005003087975532,0.15410375333879664,2020-11-01,7.789712355829863,3878808.1625891794,12.025572478421552,50424008.70964291,29697171.102195438
439,4.005003087975532,0.15410375333879664,2020-12-01,2.223962734428226,3324846.506642825,3.634792869402615,50424019.324385256,30251130.534179058
440,4.003513079112161,0.15410375333879664,2019-10-01,1756.8517567715141,28798654.21869088,1885.5665245323864,50400968.41856557,4798491.796219005
440,4.003513079112161,0.15410375333879664,2019-11-01,2587.95370944142,24683131.192103393,2809.166801714794,50402632.77199783,8911426.86909705
440,4.003513079112161,0.15410375333879664,2019-12-01,3304.5374002638537,21154657.901415914,3634.1065068606867,50405112.36969295,12436595.622384265
440,4.003513079112161,0.15410375333879664,2020-01-01,3663.768404681088,18129751.064611167,4090.1187495636746,50408320.12585493,15457838.690784333
440,4.003513079112161,0.15410375333879664,2020-02-01,3533.844164031983,15536982.027373692,4013.6934849572526,50411930.39528357,18047073.883857775
440,4.003513079112161,0.15410375333879664,2020-03-01,2971.880166971921,13315066.24025196,3442.7633395850326,50415473.20559592,20266017.790812537
